Time,Time (unix),mentions,,
4/13/2016 20:00,1460592000,228,,
4/14/2016 20:00,1460678400,301,,
4/15/2016 20:00,1460764800,113,,
4/16/2016 20:00,1460851200,91,,
4/17/2016 20:00,1460937600,433,,
4/18/2016 20:00,1461024000,210,,
4/19/2016 20:00,1461110400,254,,
4/20/2016 20:00,1461196800,209,,
4/21/2016 20:00,1461283200,236,,
4/22/2016 20:00,1461369600,70,,
4/23/2016 20:00,1461456000,64,,
4/24/2016 20:00,1461542400,241,,
4/25/2016 20:00,1461628800,363,,
4/26/2016 20:00,1461715200,129,,
4/27/2016 20:00,1461801600,130,,
4/28/2016 20:00,1461888000,437,,
4/29/2016 20:00,1461974400,79,,
4/30/2016 20:00,1462060800,84,,
5/1/2016 20:00,1462147200,153,,
5/2/2016 20:00,1462233600,383,,
5/3/2016 20:00,1462320000,319,,
5/4/2016 20:00,1462406400,1089,,
5/5/2016 20:00,1462492800,418,,
5/6/2016 20:00,1462579200,146,,
5/7/2016 20:00,1462665600,157,,
5/8/2016 20:00,1462752000,349,,
5/9/2016 20:00,1462838400,181,,
5/10/2016 20:00,1462924800,276,,
5/11/2016 20:00,1463011200,241,,
5/12/2016 20:00,1463097600,358,,
5/13/2016 20:00,1463184000,125,,
5/14/2016 20:00,1463270400,105,,
5/15/2016 20:00,1463356800,205,,
5/16/2016 20:00,1463443200,543,,
5/17/2016 20:00,1463529600,187,,
5/18/2016 20:00,1463616000,127,,
5/19/2016 20:00,1463702400,240,,
5/20/2016 20:00,,502,,
5/21/2016 20:00,1463875200,54,,
5/22/2016 20:00,1463961600,154,,
5/23/2016 20:00,1464048000,183,,
5/24/2016 20:00,1464134400,232,,
5/25/2016 20:00,1464220800,279,,
5/26/2016 20:00,1464307200,252,,
5/27/2016 20:00,1464393600,154,,
5/28/2016 20:00,1464480000,88,,
5/29/2016 20:00,1464566400,123,,
5/30/2016 20:00,1464652800,186,,
5/31/2016 20:00,1464739200,144,,
6/1/2016 20:00,1464825600,287,,
6/2/2016 20:00,1464912000,331,,
6/3/2016 20:00,1464998400,93,,
6/4/2016 20:00,1465084800,84,,
6/5/2016 20:00,1465171200,373,,
6/6/2016 20:00,1465257600,208,,
6/7/2016 20:00,1465344000,262,,
6/8/2016 20:00,1465430400,229,,
6/9/2016 20:00,1465516800,294,,
6/10/2016 20:00,1465603200,82,,
6/11/2016 20:00,1465689600,66,,
6/12/2016 20:00,1465776000,123,,
6/13/2016 20:00,1465862400,307,,
6/14/2016 20:00,1465948800,410,,
6/15/2016 20:00,1466035200,696,,
6/16/2016 20:00,1466121600,518,,
6/17/2016 20:00,1466208000,103,,
6/18/2016 20:00,1466294400,93,,
6/19/2016 20:00,1466380800,275,,
6/20/2016 20:00,1466467200,240,,
6/21/2016 20:00,1466553600,231,,
6/22/2016 20:00,1466640000,111,,
6/23/2016 20:00,1466726400,206,,
6/24/2016 20:00,1466812800,42,,
6/25/2016 20:00,1466899200,56,,
6/26/2016 20:00,1466985600,78,,
6/27/2016 20:00,1467072000,176,,
6/28/2016 20:00,1467158400,282,,
6/29/2016 20:00,1467244800,244,,
6/30/2016 20:00,1467331200,146,,
7/1/2016 20:00,1467417600,110,,
7/2/2016 20:00,1467504000,41,,
7/3/2016 20:00,1467590400,54,,
7/4/2016 20:00,1467676800,135,,
7/5/2016 20:00,1467763200,110,,
7/6/2016 20:00,1467849600,201,,
7/7/2016 20:00,1467936000,121,,
7/8/2016 20:00,1468022400,47,,
7/9/2016 20:00,1468108800,48,,
7/10/2016 20:00,1468195200,91,,
7/11/2016 20:00,1468281600,83,,
7/12/2016 20:00,1468368000,258,,
7/13/2016 20:00,1468454400,219,,
7/14/2016 20:00,1468540800,185,,
7/15/2016 20:00,1468627200,55,,
7/16/2016 20:00,1468713600,45,,
7/17/2016 20:00,1468800000,97,,
7/18/2016 20:00,1468886400,145,,
7/19/2016 20:00,1468972800,117,,
7/20/2016 20:00,1469059200,114,,
7/21/2016 20:00,1469145600,165,,
7/22/2016 20:00,1469232000,62,,
7/23/2016 20:00,1469318400,47,,
7/24/2016 20:00,1469404800,113,,
7/25/2016 20:00,1469491200,166,,
7/26/2016 20:00,1469577600,265,,
7/27/2016 20:00,1469664000,382,,
7/28/2016 20:00,1469750400,299,,
7/29/2016 20:00,1469836800,68,,
7/30/2016 20:00,1469923200,54,,
7/31/2016 20:00,1470009600,187,,
8/1/2016 20:00,1470096000,90,,
8/2/2016 20:00,1470182400,86,,
8/3/2016 20:00,1470268800,605,,
8/4/2016 20:00,1470355200,211,,
8/5/2016 20:00,1470441600,122,,
8/6/2016 20:00,1470528000,67,,
8/7/2016 20:00,1470614400,491,,
8/8/2016 20:00,1470700800,216,,
8/9/2016 20:00,1470787200,218,,
8/10/2016 20:00,1470873600,354,,
8/11/2016 20:00,1470960000,235,,
8/12/2016 20:00,1471046400,61,,
8/13/2016 20:00,1471132800,36,,
8/14/2016 20:00,1471219200,110,,
8/15/2016 20:00,1471305600,282,,
8/16/2016 20:00,1471392000,162,,
8/17/2016 20:00,1471478400,259,,
8/18/2016 20:00,1471564800,105,,
8/19/2016 14:00,1471629600,32,,
8/19/2016 20:00,1471651200,15,,
8/20/2016 2:00,1471672800,14,,
8/20/2016 8:00,1471694400,30,,
8/20/2016 14:00,1471716000,14,,
8/20/2016 20:00,1471737600,15,,
8/21/2016 2:00,1471759200,9,,
8/21/2016 8:00,1471780800,14,,
8/21/2016 14:00,1471802400,21,,
8/21/2016 20:00,1471824000,10,,
8/22/2016 2:00,1471845600,16,,
8/22/2016 8:00,1471867200,43,,
8/22/2016 14:00,1471888800,590,,
8/22/2016 20:00,1471910400,69,,
8/23/2016 2:00,1471932000,103,,
8/23/2016 8:00,1471953600,153,,
8/23/2016 14:00,1471975200,83,,
8/23/2016 20:00,1471996800,102,,
8/24/2016 2:00,1472018400,13,,
8/24/2016 8:00,1472040000,69,,
8/24/2016 14:00,1472061600,158,,
8/24/2016 20:00,1472083200,43,,
8/25/2016 2:00,1472104800,9,,
8/25/2016 8:00,1472126400,48,,
8/25/2016 14:00,1472148000,166,,
8/25/2016 20:00,1472169600,32,,
8/26/2016 2:00,1472191200,20,,
8/26/2016 8:00,1472212800,45,,
8/26/2016 14:00,1472234400,38,,
8/26/2016 20:00,1472256000,16,,
8/27/2016 2:00,1472277600,15,,
8/27/2016 8:00,1472299200,16,,
8/27/2016 14:00,1472320800,15,,
8/27/2016 20:00,1472342400,17,,
8/28/2016 2:00,1472364000,12,,
8/28/2016 8:00,1472385600,13,,
8/28/2016 14:00,1472407200,13,,
8/28/2016 20:00,1472428800,5,,
8/29/2016 2:00,1472450400,13,,
8/29/2016 8:00,1472472000,35,,
8/29/2016 14:00,1472493600,105,,
8/29/2016 20:00,1472515200,24,,
8/30/2016 2:00,1472536800,29,,
8/30/2016 8:00,1472558400,96,,
8/30/2016 14:00,1472580000,106,,
8/30/2016 20:00,1472601600,38,,
8/31/2016 2:00,1472623200,15,,
8/31/2016 8:00,1472644800,61,,
8/31/2016 14:00,1472666400,72,,
8/31/2016 20:00,1472688000,30,,
9/1/2016 2:00,1472709600,19,,
9/1/2016 8:00,1472731200,52,,
9/1/2016 14:00,1472752800,57,,
9/1/2016 20:00,1472774400,20,,
9/2/2016 2:00,1472796000,17,,
9/2/2016 8:00,1472817600,186,,
9/2/2016 14:00,1472839200,92,,
9/2/2016 20:00,1472860800,16,,
9/3/2016 2:00,1472882400,18,,
9/3/2016 8:00,1472904000,21,,
9/3/2016 14:00,1472925600,12,,
9/3/2016 20:00,1472947200,13,,
9/4/2016 2:00,1472968800,8,,
9/4/2016 8:00,1472990400,43,,
9/4/2016 14:00,1473012000,7,,
9/4/2016 20:00,1473033600,20,,
9/5/2016 2:00,1473055200,13,,
9/5/2016 8:00,1473076800,36,,
9/5/2016 14:00,1473098400,20,,
9/5/2016 20:00,1473120000,12,,
9/6/2016 2:00,1473141600,12,,
9/6/2016 8:00,1473163200,87,,
9/6/2016 14:00,1473184800,117,,
9/6/2016 20:00,1473206400,13,,
9/7/2016 2:00,1473228000,26,,
9/7/2016 8:00,1473249600,149,,
9/7/2016 14:00,1473271200,83,,
9/7/2016 20:00,1473292800,23,,
9/8/2016 2:00,1473314400,13,,
9/8/2016 8:00,1473336000,55,,
9/8/2016 14:00,1473357600,38,,
9/8/2016 20:00,1473379200,16,,
9/9/2016 2:00,1473400800,15,,
9/9/2016 8:00,1473422400,68,,
9/9/2016 14:00,1473444000,29,,
9/9/2016 20:00,1473465600,20,,
9/10/2016 2:00,1473487200,6,,
9/10/2016 8:00,1473508800,11,,
9/10/2016 14:00,1473530400,18,,
9/10/2016 20:00,1473552000,13,,
9/11/2016 2:00,1473573600,2,,
9/11/2016 8:00,1473595200,12,,
9/11/2016 14:00,1473616800,14,,
9/11/2016 20:00,1473638400,165,,
9/12/2016 2:00,1473660000,68,,
9/12/2016 8:00,1473681600,97,,
9/12/2016 14:00,1473703200,63,,
9/12/2016 20:00,1473724800,15,,
9/13/2016 2:00,1473746400,7,,
9/13/2016 8:00,1473768000,35,,
9/13/2016 14:00,1473789600,51,,
9/13/2016 20:00,1473811200,23,,
9/14/2016 2:00,1473832800,8,,
9/14/2016 8:00,1473854400,36,,
9/14/2016 14:00,1473876000,35,,
9/14/2016 20:00,1473897600,15,,
9/15/2016 2:00,1473919200,10,,
9/15/2016 8:00,1473940800,60,,
9/15/2016 14:00,1473962400,33,,
9/15/2016 20:00,1473984000,10,,
9/16/2016 2:00,1474005600,16,,
9/16/2016 8:00,1474027200,88,,
9/16/2016 14:00,1474048800,448,,
9/16/2016 20:00,1474070400,30,,
9/17/2016 2:00,1474092000,22,,
9/17/2016 8:00,1474113600,45,,
9/17/2016 14:00,1474135200,30,,
9/17/2016 20:00,1474156800,15,,
9/18/2016 2:00,1474178400,11,,
9/18/2016 8:00,1474200000,14,,
9/18/2016 14:00,1474221600,23,,
9/18/2016 20:00,1474243200,16,,
9/19/2016 2:00,1474264800,6,,
9/19/2016 8:00,1474286400,51,,
9/19/2016 14:00,1474308000,157,,
9/19/2016 20:00,1474329600,48,,
9/20/2016 2:00,1474351200,25,,
9/20/2016 8:00,1474372800,55,,
9/20/2016 14:00,1474394400,104,,
9/20/2016 20:00,1474416000,15,,
9/21/2016 2:00,1474437600,26,,
9/21/2016 8:00,1474459200,103,,
9/21/2016 14:00,1474480800,43,,
