API Number,Well Name,Well Number,qtrqtr,sec,twp,range,lat,long,Elevation,Facility_type,Facility_status,fluid_type,max_wat_inj_press,max_inj_volume,not_injector_date,Formation_code,Formation,TopPeforation,BottomPerforation,NumberPerforations,PerforationSize,MeasuredDepth,TrueVerticalDepth,MeasuredPlugBackDepth,TrueVerticalPlugBackDepth,TopPerforationSubSea,BottomPerforationSubSea
05-081-06313-00,SHELL CREEK FEDERAL 44-27          ,4,SESE,27,12N,99W,40.96539,-108.49995,6892,UIC DISPOSAL,TA,PRODUCED WATER        ,1700,,,FTUN  ,FORT UNION                                        ,4472,4502,,,7035,7035,4660,,2420,2390
05-081-06411-00,TEMPLE CANYON                      ,17-Jan,SENE,17,4N,95W,40.316778,-108.069313,7874,UIC DISPOSAL,PA,PRODUCED WATER        ,1540,,00:00.0,DKTA  ,DAKOTA                                            ,,,,,7140,0,7114,,,
05-081-06411-00,TEMPLE CANYON                      ,17-Jan,SENE,17,4N,95W,40.316778,-108.069313,7874,UIC DISPOSAL,PA,PRODUCED WATER        ,1540,,00:00.0,DKTA  ,DAKOTA                                            ,,,,,7140,0,7114,,,
05-081-06411-00,TEMPLE CANYON                      ,17-Jan,SENE,17,4N,95W,40.316778,-108.069313,7874,UIC DISPOSAL,PA,PRODUCED WATER        ,1540,,00:00.0,MRSN  ,MORRISON                                          ,,,,,7140,0,7114,,,
05-081-06674-00,"WILSON, F                          ",27E            ,SWNE,23,12N,100W,40.989007,-108.597612,7120,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1300,,00:00.0,WSTC  ,WASATCH                                           ,,,,,2754,2754,2707,,,
05-081-06676-00,F.WILSON                           ,NO.29-E (DD)   ,NENW,23,12N,100W,40.992554,-108.601284,7224,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,1340,,00:00.0,WSTC  ,WASATCH                                           ,,,,,5738,,5663,,,
05-081-06677-00,"WILSON, F                          ",30E            ,SENW,23,12N,100W,40.988366,-108.601167,7130,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1290,,00:00.0,WSTC  ,WASATCH                                           ,,,,,2717,2717,2647,,,
05-081-06685-00,"WILSON, F                          ",31E            ,NWNE,23,12N,100W,40.99188,-108.597677,7139,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1330,,00:00.0,WSTC  ,WASATCH                                           ,,,,,2530,2530,2470,,,
05-081-06702-00,FEDERAL                            ,12/16/2001,SESE,12,11N,93W,40.922312,-107.77612,6560,UIC DISPOSAL,PA,PRODUCED WATER        ,1,,00:00.0,FTUN  ,FORT UNION                                        ,,,,,4400,0,4396,,,
05-075-40002-00,NARJES                             ,WI-1           ,SWNW,7,11N,52W,40.94199,-103.2288,,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1438,,00:00.0,JSND  ,J SAND                                            ,,,,,5394,,,,,
